model,accuracy,precision,recall,f1,mcc,auc,timing_ms
BERT + FFNN (frozen),0.988929889298893,0.9747899159663865,0.9872340425531915,0.9809725158562368,0.9732061633480417,0.9951851579179858,0.022053278680217222
RoBERTa + FFNN (frozen),0.992619926199262,0.9914163090128756,0.9829787234042553,0.9871794871794872,0.9820159527355785,0.9989987484355445,0.018036820058599756
DistilBERT + FFNN (frozen),0.985239852398524,0.9785407725321889,0.9702127659574468,0.9743589743589743,0.9640139015305843,0.997901789000957,0.017819809297793907
Qwen2.5 + FFNN (frozen),0.97539975399754,0.9864253393665159,0.9276595744680851,0.956140350877193,0.9399240549364316,0.9960907016123095,0.019213956807079057
DeepSeek + FFNN (frozen),0.959409594095941,0.9208333333333333,0.9404255319148936,0.9305263157894736,0.9019598028633445,0.9886402120297431,0.020419539560691015
BERT (fine-tuned),0.9876998769987699,0.9828326180257511,0.9744680851063829,0.9786324786324786,0.9700145852655824,0.9989030405654126,16.6673569368407
RoBERTa (fine-tuned),0.9876998769987699,0.9707112970711297,0.9872340425531915,0.9789029535864979,0.970292098013445,0.9989987484355444,16.332895260162164
DistilBERT (fine-tuned),0.991389913899139,0.9913793103448276,0.9787234042553191,0.9850107066381156,0.9790111258720611,0.9994257527792093,9.270852782189626
Qwen2.5 (fine-tuned),0.9372693726937269,0.8898305084745762,0.8936170212765957,0.89171974522293,0.8475679672652303,0.9839873371125671,314.4882294231382
DeepSeek (fine-tuned),0.974169741697417,0.9495798319327731,0.9617021276595744,0.9556025369978859,0.9374277114781251,0.9947287049988957,268.9933260721767
TF-IDF + LR (baseline),0.97539975399754,1.0,0.9148936170212766,0.9555555555555556,0.9403696976676078,0.9997644113965987,0.4475817615842174
TF-IDF + RF (baseline),0.9876998769987699,1.0,0.9574468085106383,0.9782608695652174,0.97013591806631,0.9997533681808143,0.5013605472053256
Word2Vec + SVM (baseline),0.981549815498155,0.9741379310344828,0.9617021276595744,0.9678800856531049,0.95497742630736,0.9939704041816977,0.01030947742720225
