model,ms_per_email
BERT + FFNN (frozen),0.022053278680217222
RoBERTa + FFNN (frozen),0.018036820058599756
DistilBERT + FFNN (frozen),0.017819809297793907
Qwen2.5 + FFNN (frozen),0.019213956807079057
DeepSeek + FFNN (frozen),0.020419539560691015
BERT (fine-tuned),16.6673569368407
RoBERTa (fine-tuned),16.332895260162164
DistilBERT (fine-tuned),9.270852782189626
Qwen2.5 (fine-tuned),314.4882294231382
DeepSeek (fine-tuned),268.9933260721767
TF-IDF + LR (baseline),0.4475817615842174
TF-IDF + RF (baseline),0.5013605472053256
Word2Vec + SVM (baseline),0.01030947742720225
